Number,Active,Activity due,Category,Subcategory,Knowledge,Configuration item,Company,Event Severity,Impact,Parent Incident,Priority,Severity,Alert,Assignment group,Channel,Domain,Location,Complexity,asset_id,Created,Description,Monitoring Based KB Article,Additional assignee list,Event Policy,Approval,Approval history,Approval set,Assigned to,Business duration,Performance
INC05996281,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FLAGS-JK-PCCECUICB01,"FLAGSTAR BANCORP, INC.",CRITICAL,1 - High,INC05923030,1 - Critical,2 - Medium,Alert0299270,SO-NOC-Collab,Alert,"TOP/Customer/FLAGSTAR BANCORP, INC.",(empty),1,ASSET-001,04/12/24 13:13,Critical Alert [Alert0299270] created ...,KB0025404 v2.0,,,Not Yet Requested,,(empty),Eric Tanney: CDW,1 Hour 5 Minutes,On Time
INC06103794,TRUE,UNKNOWN,Monitoring Alert,,FALSE,CLALL-DC1-LEAF11,CLIFTONLARSONALLEN LLP,CRITICAL,1 - High,INC06068996,1 - Critical,2 - Medium,Alert0491439,SO-NOC-Network,Alert,TOP/Customer/CLIFTONLARSONALLEN LLP,(empty),1,ASSET-001,6/28/24 13:34,CLALL-dc1-leaf11: Cisco ACI Infra EPG Po...,KB0024044 v11.0,,,Not Yet Requested,,(empty),sangeeta sharma: TEK,,On Time
INC06114526,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-MIBURTONR1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509606,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-001,07/08/24 14:09,GFS-MIBURTONR1: Interface 'Tu30 - SVDCWN...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06114548,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-MICASCADER1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509622,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-001,07/08/24 14:09,GFS-MICASCADER1: Interface 'Tu30 - SVDCW...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06119408,TRUE,UNKNOWN,Monitoring Alert,,FALSE,ACLU-ACLU-DC-NTNX,AMERICAN CIVIL LIBERTIES UNION,CRITICAL,2 - Medium,(empty),1 - Critical,2 - Medium,Alert0516113,SO-NOC-Virt,Alert,TOP/Customer/AMERICAN CIVIL LIBERTIES UNION,(empty),1,ASSET-002,07/11/24 9:15,Grouped Alerts: ACLU-ACLU-DC-NTNX: Nutan...,KB0020298 v5.0,,,Not Yet Requested,,(empty),Naveen Asaithambi: TEK,,On Time
INC06103483,TRUE,UNKNOWN,Monitoring Alert,,FALSE,CLALL-DC1-LEAF11,CLIFTONLARSONALLEN LLP,CRITICAL,,INC06068996,1 - Critical,2 - Medium,Alert0490981,SO-NOC-Network,Alert,TOP/Customer/CLIFTONLARSONALLEN LLP,(empty),1,ASSET-003,6/28/24 9:04,Grouped Alerts: CLALL-dc1-leaf11: Cisco ...,KB0024044 v11.0,,,Not Yet Requested,,(empty),sangeeta sharma: TEK,,On Time
INC06107554,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-GLOBALKOMATSU-ORCH-USE1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0497611,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-003,07/02/24 12:00,KOMAT-globalkomatsu-orch-use1: ec-pe-lma...,KB0037391 v33.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC06114543,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-MIOKEMOSR1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509611,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-003,07/08/24 14:09,GFS-MIOKEMOSR1: Interface 'Tu30 - SVDCWN...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC05988921,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KCKENT-KCKENT-SLDCOL-01-01,KENT CORPORATION,CRITICAL,2 - Medium,INC05987732,1 - Critical,1 - High,Alert0284438,SO-NOC-Level 1,Alert,TOP/Customer/KENT CORPORATION,(empty),,ASSET-004,04/06/24 17:00,APPMON-h-sldb-cluster-1: Collector kcken...,(empty),,,Not Yet Requested,,(empty),(empty),,Overdue
INC05997831,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FLAGS-TR-PCCECUICA01,"FLAGSTAR BANCORP, INC.",CRITICAL,1 - High,INC05923030,1 - Critical,2 - Medium,Alert0302867,SO-NOC-Collab,Alert,"TOP/Customer/FLAGSTAR BANCORP, INC.",(empty),1,ASSET-005,4/13/24 21:43,Critical Alert [Alert0302867] created ...,KB0025404 v2.0,,,Not Yet Requested,,(empty),Eric Tanney: CDW,0 Seconds,On Time
INC06104575,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FHI-MLBKOSW01,FHI 360,CRITICAL,1 - High,INC06113027,1 - Critical,2 - Medium,Alert0492619,SO-NOC-Network,Alert,TOP/Customer/FHI 360,(empty),1,ASSET-005,6/29/24 8:02,FHI-MLBKOSW01: Device Failed Availabilit...,KB0032848 v4.0,,,Not Yet Requested,,(empty),Andres Moreno Gonzalez: CDW,,Overdue
INC05425027,TRUE,UNKNOWN,Monitoring Alert,Network.Switches,FALSE,FHI-KHSW05,FHI 360,Critical,3 - Low,INC05415401,1 - Critical,2 - Medium,(empty),(empty),ScienceLogic,TOP/Customer/FHI 360,FHI-1 Toktogul street-Bishkek--Kyrgyzstan,1,ASSET-006,04/04/23 23:00,KHSW05.root.fhi.org: Device Failed Avail...,KB0032848 v2.0,,Poller: Availability Check Failed,Not Yet Requested,,(empty),(empty),11 Days 6 Hours,On Time
INC06122146,TRUE,UNKNOWN,Monitoring Alert,,FALSE,HILLR-SAR-ENGM1-WR02,HILL-ROM COMPANY,CRITICAL,1 - High,(empty),1 - Critical,2 - Medium,Alert0520485,SO-NOC-Level 1,Email,TOP/Customer/HILL-ROM COMPANY,(empty),1,ASSET-006,07/12/24 18:38,HILLR-SAR-ENGM1-WR02: Edge Connect: Appl...,KB0048529 v45.0,,,Not Yet Requested,,(empty),Breda Elmore: CDW,,On Time
INC06114567,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-MOMAPLEWOR1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509654,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-008,07/08/24 14:11,GFS-MOMAPLEWOR1: Interface 'Tu30 - SVDCW...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06007570,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FLAGS-JK-PCCEHDSB01,"FLAGSTAR BANCORP, INC.",CRITICAL,1 - High,INC05923030,1 - Critical,2 - Medium,Alert0321665,SO-NOC-Collab,Alert,"TOP/Customer/FLAGSTAR BANCORP, INC.",(empty),1,ASSET-009,4/21/24 6:47,Grouped Alerts: \FLAGS-CCE-02:JK-PCCEHDS...,KB0025758 v1.0,,,Not Yet Requested,,(empty),Eric Tanney: CDW,,On Time
INC06002946,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FLAGS-TR-PCCECUICA01,"FLAGSTAR BANCORP, INC.",CRITICAL,1 - High,INC05923030,1 - Critical,2 - Medium,Alert0312852,SO-NOC-Collab,Alert,"TOP/Customer/FLAGSTAR BANCORP, INC.",(empty),1,ASSET-010,4/17/24 18:02,\FLAGS-CCE-02:TR-PCCECUICA01 CUIC Data S...,KB0025404 v2.0,,,Not Yet Requested,,(empty),Eric Tanney: CDW,57 Minutes,On Time
INC06013706,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FLAGS-TR-PCCECUICA01,"FLAGSTAR BANCORP, INC.",CRITICAL,1 - High,INC05923030,1 - Critical,2 - Medium,Alert0333008,SO-NOC-Collab,Alert,"TOP/Customer/FLAGSTAR BANCORP, INC.",(empty),1,ASSET-010,4/26/24 3:44,\FLAGS-CCE-02:TR-PCCECUICA01 CUIC Data S...,KB0025404 v2.0,,,Not Yet Requested,,(empty),Eric Tanney: CDW,0 Seconds,On Time
INC06114468,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-FLSARASOTR1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509549,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-011,07/08/24 14:06,GFS-FLSARASOTR1: Interface 'Tu30 - SVDCW...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06114508,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-OHDAYHARSR1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509588,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-011,07/08/24 14:09,GFS-OHDAYHARSR1: Interface 'Tu30 - SVDCW...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06093174,TRUE,UNKNOWN,Monitoring Alert,,FALSE,BETUN-BETUN-WIRELESS-NETWORK,BETHEL UNIVERSITY,CRITICAL,1 - High,INC06055489,1 - Critical,2 - Medium,Alert0474000,SO-NOC-Network,Alert,TOP/Customer/BETHEL UNIVERSITY,(empty),1,ASSET-012,6/21/24 8:11,BETUN-BETUN-Wireless-Network: Meraki Acc...,KB0023837 v3.0,,,Not Yet Requested,,(empty),Sunil Lokeshwara: TEK,,On Time
INC06103105,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-ZA-NZA-ECV-1,KOMATSU MINING,CRITICAL,,INC06047135,1 - Critical,2 - Medium,Alert0490381,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-013,6/28/24 1:15,Grouped Alerts: KOMAT-globalkomatsu-orch...,KB0048670 v22.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC06123795,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FHI-MZAPLSW02,FHI 360,CRITICAL,1 - High,INC06123797,1 - Critical,2 - Medium,Alert0523339,SO-NOC-Level 1,Alert,TOP/Customer/FHI 360,(empty),1,ASSET-013,7/14/24 0:14,FHI-MZAPLSW02: Device Failed Availabilit...,KB0032848 v4.0,,,Not Yet Requested,,(empty),(empty),,On Time
INC06066597,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-ZA-WIT-GDHP-XS-1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0432480,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-014,06/04/24 2:27,KOMAT-globalkomatsu-orch-use1: Orchestra...,KB0048529 v45.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC06106446,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-GLOBALKOMATSU-ORCH-USE1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0495769,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-014,07/01/24 13:18,Grouped Alerts: KOMAT-globalkomatsu-orch...,KB0048529 v45.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC04874307,TRUE,UNKNOWN,Monitoring Alert,Network.Router,FALSE,GFS-BCDELTADCR1,GORDON FOOD SERVICE INC,Critical,3 - Low,INC04874303,1 - Critical,2 - Medium,(empty),SO-NOC-Network,ScienceLogic,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-015,04/02/22 7:36,BCDELTADCR1.can.gfs.com: Interface 'Tu12...,KB0013545 v3.0,,Poller: Interface operationally down,Not Yet Requested,,(empty),Srinivas   Kumar: TEK,,On Time
INC06057688,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-US-KUCM-XS-1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0420336,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-015,5/29/24 21:23,KOMAT-globalkomatsu-orch-use1: Orchestra...,KB0048529 v45.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC05137166,TRUE,UNKNOWN,Monitoring Alert,,FALSE,HCS-HCS-SBC-HCSCORE-ORD-2,CDW CLOUD COLLABORATION,,,INC05137171,1 - Critical,2 - Medium,(empty),SO-NOC-Level 1,Prognosis,TOP/Customer - No offshore access/CDW CL...,(empty),1,ASSET-016,8/22/22 21:03,[HCS-SBC-HCSCORE-ORD-2]: SBC Session Age...,KB0035843 v32.0,,,Not Yet Requested,,(empty),Jesse Burse: CDW,,On Time
INC06110231,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FHI-FHI-ETADD1-ADDIS-ABABA,FHI 360,CRITICAL,1 - High,INC06096093,1 - Critical,2 - Medium,Alert0502891,SO-NOC-Level 1,Alert,TOP/Customer/FHI 360,(empty),1,ASSET-017,07/04/24 2:35,FHI-FHI-ETADD1-Addis-Ababa: Meraki Acces...,KB0023837 v3.0,,,Not Yet Requested,,(empty),Vuruvakili Vaishnavi: TEK,,On Time
INC06054719,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FLAGS-TR-PCCECUICA01,"FLAGSTAR BANCORP, INC.",CRITICAL,1 - High,INC05923030,1 - Critical,2 - Medium,Alert0414871,SO-NOC-Collab,Alert,"TOP/Customer/FLAGSTAR BANCORP, INC.",(empty),1,ASSET-018,5/27/24 17:57,\FLAGS-CCE-02:TR-PCCECUICA01 CUIC Data S...,KB0025404 v2.0,,,Not Yet Requested,,(empty),Eric Tanney: CDW,6 Minutes,On Time
INC06123379,TRUE,UNKNOWN,Monitoring Alert,,FALSE,HAPP-SUZO-HONGKONG-5506,HAPP CONTROLS INC,CRITICAL,1 - High,INC06123217,1 - Critical,2 - Medium,Alert0522555,SO-NOC-Level 1,Alert,TOP/Customer/HAPP CONTROLS INC,(empty),1,ASSET-018,7/13/24 14:50,HAPP-SUZO-HONGKONG-5506: Device Failed A...,KB0032848 v4.0,,,Not Yet Requested,,(empty),Breda Elmore: CDW,,On Time
INC06122486,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-ZA-WIT-NDC-FS-XS-1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0521069,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-019,07/12/24 21:52,KOMAT-ec-za-wit-ndc-fs-xs-1: Edge Connec...,KB0048529 v45.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC06053857,TRUE,UNKNOWN,Monitoring Alert,,FALSE,FLAGS-TR-PCCECUICA01,"FLAGSTAR BANCORP, INC.",CRITICAL,1 - High,INC05923030,1 - Critical,2 - Medium,Alert0413315,SO-NOC-Collab,Alert,"TOP/Customer/FLAGSTAR BANCORP, INC.",(empty),1,ASSET-020,5/26/24 21:33,\FLAGS-CCE-02:TR-PCCECUICA01 CUIC Data S...,KB0025404 v2.0,,,Not Yet Requested,,(empty),Eric Tanney: CDW,,On Time
INC06114482,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-FLSTPETERR1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509559,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-020,07/08/24 14:09,GFS-FLSTPETERR1: Interface 'Tu30 - SVDCW...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06114549,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-OHMASONR1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509632,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-020,07/08/24 14:11,GFS-OHMASONR1: Interface 'Tu30 - SVDCWNR...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06124348,TRUE,UNKNOWN,Monitoring Alert,,FALSE,HILLR-SAR-ENGM1-WR02,HILL-ROM COMPANY,CRITICAL,1 - High,INC06122146,1 - Critical,2 - Medium,Alert0524212,SO-NOC-Level 1,Alert,TOP/Customer/HILL-ROM COMPANY,(empty),1,ASSET-020,7/14/24 15:52,HILLR-SAR-ENGM1-WR02: Edge Connect: Appl...,KB0048529 v45.0,,,Not Yet Requested,,(empty),Breda Elmore: CDW,,On Time
INC06122992,TRUE,UNKNOWN,Monitoring Alert,,FALSE,HILLR-SAR-ENGM1-WR02,HILL-ROM COMPANY,CRITICAL,1 - High,INC06122146,1 - Critical,2 - Medium,Alert0521904,SO-NOC-Level 1,Alert,TOP/Customer/HILL-ROM COMPANY,(empty),1,ASSET-021,7/13/24 2:18,HILLR-SAR-ENGM1-WR02: Edge Connect: Appl...,KB0048529 v45.0,,,Not Yet Requested,,(empty),Breda Elmore: CDW,,On Time
INC06063541,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-GLOBALKOMATSU-ORCH-USE1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0430427,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-022,06/03/24 10:14,KOMAT-globalkomatsu-orch-use1: ec-za-wit...,KB0037391 v33.0,,,Not Yet Requested,,(empty),(empty),,Overdue
INC06114571,TRUE,UNKNOWN,Monitoring Alert,,FALSE,GFS-OHMANSFIER1,GORDON FOOD SERVICE INC,CRITICAL,1 - High,INC06114473,1 - Critical,2 - Medium,Alert0509658,SO-NOC-Level 1,Alert,TOP/Customer/GORDON FOOD SERVICE INC,(empty),3,ASSET-022,07/08/24 14:11,GFS-OHMANSFIER1: Interface 'Tu30 - SVDCW...,KB0013545 v10.0,,,Not Yet Requested,,(empty),Akash Sabu: CDW,,On Time
INC06056316,TRUE,UNKNOWN,Monitoring Alert,,FALSE,KOMAT-EC-ZA-WIT-ZBO-CPT-XS-1,KOMATSU MINING,CRITICAL,1 - High,INC06047135,1 - Critical,2 - Medium,Alert0417928,SO-NOC-Level 1,Alert,TOP/Customer/KOMATSU MINING,(empty),1,ASSET-023,5/28/24 22:57,KOMAT-globalkomatsu-orch-use1: ec-za-wit...,KB0037391 v33.0,,,Not Yet Requested,,(empty),(empty),,Overdue
