asset_id,hard_asset,hard_company,hard_name,hard_location,hard_sys_class_name,hard_manufacturer,model_class,manufacturer,model_id,life_model,hard_serial_number,life_lifecycle_phase,life_active,hard_attestation_status,hard_u_ci_long_name,hard_category,life_sys_class_name,hard_sys_created_by,hard_first_discovered,hard_hardware_status,hard_install_status,hard_maintenance_schedule,hard_model_id,hard_model_number,hard_u_os,life_risk,hard_x_sclo_scilogic_id,hard_x_sclo_scilogic_monitored,hard_x_sclo_scilogic_region,hard_u_sl1_tier,hard_x_sclo_scilogic_url,hard_u_sciencelogic_status,hard_u_serial_name,hard_u_service_level,life_source,hard_operational_status,hard_subcategory,hard_sys_id,hard_u_voice_contact
ASSET-839,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,FDO1933L03P,General Availability,TRUE,Not Yet Reviewed,SENRE-HOU-6840X-CORE,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,1/12/17 15:40,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,None,Low,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,88fbeb742b0b56883d24b2a767da1539,"P1 On-Off Hours, P2 On-Hours"
ASSET-840,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE-B,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,,General Availability,TRUE,Not Yet Reviewed,SENRE-HOU-6840X-CORE-B,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,,Low,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,9a1d67b82b0b56883d24b2a767da15e1,"P1 On-Off Hours, P2 On-Hours"
ASSET-948,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,FDO1933L03P,End of Support,TRUE,Not Yet Reviewed,SENRE-HOU-6840X-CORE,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,1/12/17 15:40,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,None,High,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,88fbeb742b0b56883d24b2a767da1539,"P1 On-Off Hours, P2 On-Hours"
ASSET-949,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE-B,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,,End of Support,TRUE,Not Yet Reviewed,SENRE-HOU-6840X-CORE-B,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,,High,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,9a1d67b82b0b56883d24b2a767da15e1,"P1 On-Off Hours, P2 On-Hours"
ASSET-950,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,FDO1933L03P,End of Sale,TRUE,Not Yet Reviewed,SENRE-HOU-6840X-CORE,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,1/12/17 15:40,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,None,Moderate,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,88fbeb742b0b56883d24b2a767da1539,"P1 On-Off Hours, P2 On-Hours"
ASSET-951,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE-B,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,,End of Sale,TRUE,Not Yet Reviewed,SENRE-HOU-6840X-CORE-B,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,,Moderate,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,9a1d67b82b0b56883d24b2a767da15e1,"P1 On-Off Hours, P2 On-Hours"
ASSET-952,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,FDO1933L03P,General Availability,FALSE,Not Yet Reviewed,SENRE-HOU-6840X-CORE,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,1/12/17 15:40,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,None,Low,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,88fbeb742b0b56883d24b2a767da1539,"P1 On-Off Hours, P2 On-Hours"
ASSET-953,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE-B,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,,General Availability,FALSE,Not Yet Reviewed,SENRE-HOU-6840X-CORE-B,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,,Low,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,9a1d67b82b0b56883d24b2a767da15e1,"P1 On-Off Hours, P2 On-Hours"
ASSET-954,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,FDO1933L03P,End of Life,TRUE,Not Yet Reviewed,SENRE-HOU-6840X-CORE,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,1/12/17 15:40,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,None,Very High,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,88fbeb742b0b56883d24b2a767da1539,"P1 On-Off Hours, P2 On-Hours"
ASSET-955,"Cisco Systems, Inc. Catalyst 6800 Series Switches C6832-X-LE",SENECA RESOURCES CORPORATION,SENRE-HOU-6840X-CORE-B,"SENRE-1201 Louisiana St., Ste #2600-Houston-TX-USA",IP Switch,Cisco,IP Switch,Cisco,Cisco Catalyst 6800 Series Switches C6832-X-LE,Cisco Catalyst 6800 Series Switches C6832-X-LE,,End of Life,TRUE,Not Yet Reviewed,SENRE-HOU-6840X-CORE-B,Hardware,Hardware Model Lifecycle,barrhes@cdw.com,,Installed,Installed,,Cisco Catalyst 6800 Series Switches C6832-X-LE,,,Very High,,FALSE,,,,,FDO1933L03P,Gold,ServiceNow,Gone,Network,9a1d67b82b0b56883d24b2a767da15e1,"P1 On-Off Hours, P2 On-Hours"
